#BLTrackFile initial
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
27.7107 -604.53 0 -359.567 -194.793 9991.63 0 2212 106 1 0 1
510.407 -184.627 0 -127.275 403.614 9991.04 0 2212 107 1 0 1
502.738 501.086 0 -196.653 432.641 9988.7 0 2212 108 1 0 1
-53.7401 289.052 0 47.8813 272.169 9996.18 0 2212 109 1 0 1
-18.2908 217.327 0 287.856 -274.166 9992.1 0 2212 110 1 0 1
30.5826 458.908 0 103.749 -507.352 9986.58 0 2212 111 1 0 1
-121.936 61.4795 0 99.3964 -227.312 9996.92 0 2212 112 1 0 1
371.149 207.927 0 60.7612 701.818 9975.16 0 2212 113 1 0 1
-467.175 -204.384 0 -265.885 -47.0441 9996.35 0 2212 114 1 0 1
-530.641 -141.519 0 -304.153 698.659 9970.93 0 2212 115 1 0 1
320.081 -438.898 0 -26.3075 -275.575 9996.17 0 2212 116 1 0 1
-168.664 216.78 0 -73.9457 -659.378 9977.96 0 2212 117 1 0 1
-1.79243 206.594 0 -133.549 297.778 9994.67 0 2212 118 1 0 1
-1126.55 442.807 0 200.689 87.9339 9997.6 0 2212 119 1 0 1
283.039 -568.776 0 -200.577 -136.868 9997.05 0 2212 120 1 0 1
-329.189 146.544 0 159.037 -251.483 9995.57 0 2212 121 1 0 1
683.801 -320.504 0 0.440466 -425.66 9990.94 0 2212 122 1 0 1
634.71 208.046 0 158.972 -257.147 9995.43 0 2212 123 1 0 1
-134.27 -103.441 0 145.508 -205.446 9996.83 0 2212 124 1 0 1
-591.416 35.0432 0 235.962 65.5697 9997 0 2212 125 1 0 1
-172.487 422.49 0 -334.58 243.011 9991.45 0 2212 126 1 0 1
127.74 58.5209 0 -39.1023 416.261 9991.26 0 2212 127 1 0 1
746.848 -45.0571 0 -122.976 28.9372 9999.2 0 2212 128 1 0 1
659.394 346.039 0 -112.998 -434.485 9989.92 0 2212 129 1 0 1
-304.973 101.847 0 201.461 -308.624 9993.21 0 2212 130 1 0 1
-6.47964 377.432 0 115.083 501.511 9986.75 0 2212 131 1 0 1
-181.133 153.433 0 -26.7128 -179.257 9998.36 0 2212 132 1 0 1
-1101.25 70.6644 0 -287.984 309.056 9991.07 0 2212 133 1 0 1
230.705 162.956 0 5.82186 -234.155 9997.26 0 2212 134 1 0 1
-14.4101 -2.17685 0 81.2115 30.9218 9999.62 0 2212 135 1 0 1
538.347 129.317 0 -4.27524 373.221 9993.03 0 2212 136 1 0 1
110.286 102.617 0 450.643 27.2666 9989.8 0 2212 137 1 0 1
-213.075 -588.664 0 -126.382 94.294 9998.76 0 2212 138 1 0 1
-65.4782 -194.672 0 -20.1999 -35.2063 9999.92 0 2212 139 1 0 1
-319.668 -276.495 0 -296.013 40.6602 9995.54 0 2212 140 1 0 1
528.96 195.683 0 139.113 -257.517 9995.72 0 2212 141 1 0 1
141.784 143.276 0 210.249 -350.763 9991.63 0 2212 142 1 0 1
-601.683 259.495 0 168.454 650.704 9977.38 0 2212 143 1 0 1
1133.06 -159.957 0 204.014 298.97 9993.45 0 2212 144 1 0 1
666.419 -324.956 0 -69.1929 260.404 9996.37 0 2212 145 1 0 1
588.783 -310.883 0 -149.723 -399.207 9990.91 0 2212 146 1 0 1
318.234 -370.313 0 -373.873 -282.464 9989.02 0 2212 147 1 0 1
-278.152 -105.306 0 -164.17 -970.002 9951.49 0 2212 148 1 0 1
-59.8105 529.006 0 69.2779 -764.587 9970.49 0 2212 149 1 0 1
-547.489 -70.3121 0 178.341 680.101 9975.25 0 2212 150 1 0 1
-776.999 43.149 0 129.014 -391.136 9991.51 0 2212 151 1 0 1
74.1109 -265.546 0 -80.3964 124.032 9998.91 0 2212 152 1 0 1
615.214 -111.122 0 86.4476 105.169 9999.07 0 2212 153 1 0 1
-684.633 -116.01 0 191.09 10.6049 9998.17 0 2212 154 1 0 1
351.455 21.6908 0 -3.91456 -195.071 9998.1 0 2212 155 1 0 1
-1054.78 136.999 0 83.77 -7.00615 9999.65 0 2212 156 1 0 1
-769.893 -30.96 0 63.478 244.651 9996.81 0 2212 157 1 0 1
376.239 166.327 0 195.918 -207.096 9995.94 0 2212 158 1 0 1
-191.639 -208.188 0 32.4305 -385.938 9992.5 0 2212 159 1 0 1
139.238 -254.707 0 -17.8548 153.916 9998.8 0 2212 160 1 0 1
-242.841 -111.639 0 180.216 910.078 9956.87 0 2212 161 1 0 1
834.653 239.464 0 -18.4096 -591.502 9982.47 0 2212 162 1 0 1
420.116 -324.708 0 -11.97 -626.687 9980.34 0 2212 163 1 0 1
-123.752 -5.64123 0 96.7658 -409.207 9991.16 0 2212 164 1 0 1
48.7654 128.645 0 200.878 472.328 9986.82 0 2212 165 1 0 1
11.1113 -330.61 0 109.28 374.301 9992.39 0 2212 166 1 0 1
-472.289 -66.2483 0 99.1113 264.545 9996.01 0 2212 167 1 0 1
542.903 166 0 251.982 -494.373 9984.59 0 2212 168 1 0 1
-89.1901 -78.5763 0 -117.361 47.9596 9999.2 0 2212 169 1 0 1
524.86 147.413 0 70.4396 93.1085 9999.32 0 2212 170 1 0 1
352.819 -52.0026 0 135.284 -134.734 9998.18 0 2212 171 1 0 1
-167.346 99.3856 0 157.92 -75.0825 9998.47 0 2212 172 1 0 1
-1021.48 -263.973 0 -9.0215 -484.509 9988.25 0 2212 173 1 0 1
-678.901 208.788 0 173.471 91.6024 9998.08 0 2212 174 1 0 1
-129.935 181.089 0 -298.614 725.655 9969.17 0 2212 175 1 0 1
8.27805 261.97 0 192.745 460.155 9987.55 0 2212 176 1 0 1
848.673 68.5251 0 -41.4125 -97.8084 9999.44 0 2212 177 1 0 1
-83.2504 172.139 0 226.056 231.468 9994.76 0 2212 178 1 0 1
-464.237 -316.078 0 225.102 -1098.92 9936.89 0 2212 179 1 0 1
-171.731 -118.319 0 381.438 -108.36 9992.14 0 2212 180 1 0 1
330.312 82.9603 0 160.446 281.202 9994.76 0 2212 181 1 0 1
-200.067 -341.141 0 103.203 608.549 9980.93 0 2212 182 1 0 1
114.024 248.447 0 88.2987 522.629 9985.94 0 2212 183 1 0 1
43.613 -22.1307 0 291.353 -252.046 9992.58 0 2212 184 1 0 1
153.792 343.982 0 -102.463 372.357 9992.54 0 2212 185 1 0 1
123.371 332.935 0 129.162 -690.082 9975.32 0 2212 186 1 0 1
-426.586 344.396 0 6.68074 -584.357 9982.91 0 2212 187 1 0 1
567.113 13.2866 0 -187.995 -431.573 9988.91 0 2212 188 1 0 1
-385.246 -137.014 0 80.7053 30.884 9999.63 0 2212 189 1 0 1
94.6238 172.471 0 172.77 -37.127 9998.44 0 2212 190 1 0 1
-830.141 283.699 0 191.712 -413.427 9989.61 0 2212 191 1 0 1
703.051 -141.001 0 -40.6641 -430.798 9990.63 0 2212 192 1 0 1
-112.089 35.1884 0 -24.6434 -186.403 9998.23 0 2212 193 1 0 1
